player_id,long_scorecard_name,Salary,team,matches,wins,team_runs_for,team_runs_against,matches_keeper,byes_conceded,moms,innings,not_outs,runs,balls_faced,fours,sixes,matches_bowled,balls_bowled,wickets,runs_conceded,catches,stumpings,run_outs,batting_dot_balls,bowling_dot_balls,bowling_sixes,no_balls,balls_bowled_1_to_6,runs_conceded_1_to_6,balls_bowled_7_to_14,runs_conceded_7_to_14,balls_bowled_15_to_20,runs_conceded_15_to_20,event_winner
8931,AT Rayudu,343750,Chennai Super Kings,16,11,2809,2750,0,0,2,16,2,602,402,53,34,0,0,0,0,2,0,1,137,0,0,0,0,0,0,0,0,0,1
254771,D Shorey,31250,Chennai Super Kings,1,1,128,127,0,0,0,1,0,8,9,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
44613,DJ Bravo,1000000,Chennai Super Kings,16,11,2809,2750,0,0,1,10,6,141,91,8,10,16,321,14,533,9,0,0,29,90,29,0,0,0,126,160,195,373,1
214425,DJ Willey,,Chennai Super Kings,3,2,484,483,0,0,0,0,0,0,0,0,0,3,60,2,95,2,0,1,0,20,3,0,24,38,6,10,30,47,1
258155,DL Chahar,125000,Chennai Super Kings,12,9,2117,2068,0,0,0,4,1,50,29,1,4,12,229,10,278,1,0,0,6,118,10,2,194,236,37,42,0,0,1
60234,F du Plessis,250000,Chennai Super Kings,6,5,1050,1026,0,0,1,6,1,162,129,17,6,0,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,1
7121,Harbhajan Singh,312500,Chennai Super Kings,13,8,2242,2254,0,0,0,3,0,29,36,3,1,12,191,7,270,4,0,0,22,68,13,0,47,85,144,185,0,0,1
19120,Imran Tahir,156250,Chennai Super Kings,6,4,1147,1079,0,0,0,1,1,2,2,0,0,6,124,6,188,2,0,0,0,40,10,0,6,12,78,140,40,36,1
1222291,KM Asif,62500,Chennai Super Kings,2,1,388,378,0,0,0,0,0,0,0,0,0,2,36,3,75,0,0,0,0,16,6,0,24,36,0,0,12,39,1
150824,KM Jadhav,1218750,Chennai Super Kings,1,1,169,165,0,0,0,1,1,24,22,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1
15475,KV Sharma,478000,Chennai Super Kings,6,4,1131,1051,0,0,0,1,1,0,0,0,0,5,57,4,89,3,0,1,0,16,4,0,0,0,36,45,21,44,1
1214926,LT Ngidi,78130,Chennai Super Kings,7,5,1124,1137,0,0,1,0,0,0,0,0,0,7,156,11,156,1,0,0,0,79,6,0,90,84,6,4,60,68,1
100713,M Vijay,312500,Chennai Super Kings,1,0,193,197,0,0,0,1,0,12,10,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
224063,MA Wood,234380,Chennai Super Kings,1,1,169,165,0,0,0,1,0,1,3,0,0,1,24,0,49,1,0,0,2,6,2,0,0,0,12,13,12,36,1
7561,MS Dhoni,2343750,Chennai Super Kings,16,11,2809,2750,16,10,1,15,9,455,302,24,30,0,0,0,0,11,3,2,91,0,0,0,0,0,0,0,0,0,1
94280,RA Jadeja,1093750,Chennai Super Kings,16,11,2809,2750,0,0,1,10,5,89,74,3,4,14,246,11,303,11,0,1,23,82,12,0,30,38,192,223,24,42,1
15460,SK Raina,1718750,Chennai Super Kings,15,11,2616,2553,0,0,0,15,3,444,336,46,12,0,0,0,0,9,0,2,107,0,0,0,0,0,0,0,0,0,1
257775,SN Thakur,406250,Chennai Super Kings,13,9,2252,2207,0,0,0,1,1,15,5,3,0,13,280,16,431,4,0,0,0,113,24,0,96,117,54,70,130,244,1
10016,SR Watson,625000,Chennai Super Kings,15,10,2650,2597,0,0,3,15,1,555,359,44,35,11,168,6,251,3,0,1,133,57,12,0,66,106,78,109,24,36,1
119895,SW Billings,156250,Chennai Super Kings,10,6,1803,1763,0,0,1,8,0,108,78,8,5,0,0,0,0,5,0,0,29,0,0,0,0,0,0,0,0,0,1
12353,A Mishra,625000,Delhi Daredevils,10,4,1785,1664,0,0,1,1,1,1,2,0,0,10,222,12,264,0,0,0,1,74,10,0,12,32,168,189,42,43,0
1576635,A Sharma,85940,Delhi Daredevils,3,2,517,478,0,0,0,3,2,63,33,3,5,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0
1177686,Aavesh Khan,109380,Delhi Daredevils,6,3,1077,956,0,0,0,0,0,0,0,0,0,6,114,4,204,3,0,0,0,44,17,1,79,151,12,25,24,28,0
97633,C Munro,296880,Delhi Daredevils,5,2,839,841,0,0,0,5,0,63,41,7,4,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0
921899,CH Morris,1718750,Delhi Daredevils,4,0,529,696,0,0,0,4,3,46,26,3,2,4,84,3,143,2,0,0,4,31,10,0,36,50,12,24,36,69,0
1201377,CJ Dala,,Delhi Daredevils,1,0,181,187,0,0,0,0,0,0,0,0,0,1,18,0,34,0,0,0,0,7,2,0,6,17,6,9,6,8,0
44232,DT Christian,234380,Delhi Daredevils,4,1,663,668,0,0,0,3,1,26,33,0,1,4,71,4,101,0,0,0,13,22,3,0,6,18,36,31,29,52,0
